Country Name,Country Code,Population_2012,Population_2017,Population_2018,Pop_Growth_2012,Pop_Growth_GDP_2017,Pop_Growth_GDP_2018,GDP_Capita_2012,GDP_Capita_2017,GDP_Capita_2018,GDP_Capita_Growth_2012,GDP_Capita_Growth_2017,GDP_Capita_Growth_2018,GDP_2012,GDP_2017,GDP_2018,GDP_Growth_2012,GDP_Growth_2017,GDP_Growth_2018,Corruption Perception Index,Region,Population,Area (sq. mi.),Pop. Density (per sq. mi.),Coastline (coast/area ratio),Net migration,Infant mortality (per 1000 births),GDP ($ per capita),Literacy (%),Phones (per 1000),Arable (%),Crops (%),Other (%),Climate,Birthrate,Deathrate,Agriculture,Industry,Service
Jordan,JOR,8090872,9779173,9956011,5.431586568,2.356016488,1.792156922,3827.294451,4168.641604,4247.768726,-2.775699916,-0.262010615,0.129635568,30966149506,40765867419,42290832158,2.651170555,2.115732889,1.940292205,48,NEAR EAST,5906760,92300,640,3,659,1735,4300,913,1045,267,183,955,1,2125,265,33,287,68
Japan,JPN,127629000,126785797,126529100,-0.159710676,-0.164484036,-0.202670345,48603.47665,38331.9794,39286.73765,1.657317593,2.096551745,0.992439865,6.20321E+12,4.85995E+12,4.97092E+12,1.495089586,1.928757251,0.787965413,73,ASIA (EX. NEAR EAST),127463611,377835,3374,787,0,326,28200,990,4612,1219,96,8685,3,937,916,17,258,725
Kazakhstan,KAZ,16792089,18037776,18276499,1.408676972,1.360381269,1.314780146,12386.7,9030.318806,9331.04695,3.334055983,2.693432134,2.740272171,2.07999E+11,1.62887E+11,1.70539E+11,4.8,4.1,4.1,31,C.W. OF IND. STATES,15233244,2717300,56,0,-335,2921,6300,984,1641,798,5,9197,4,16,942,67,386,547
Kenya,KEN,44343410,50221473,51393010,2.66270486,2.356812573,2.305948675,1136.871406,1568.201541,1710.510097,1.8157403,2.420020576,3.896152982,50412754861,78757391333,87908262520,4.563209131,4.862538221,6.319781365,28,SUB-SAHARAN AFRICA,34707817,582650,596,9,-1,6147,1000,851,81,808,98,9094,15,3972,1402,163,188,651
Kyrgyz Republic,KGZ,5607200,6198200,6315800,1.665236559,1.933647156,1.879550296,1177.974735,1242.769643,1281.363661,-1.848145242,2.694919493,1.572833212,6605139933,7702934800,8092836609,-0.2,4.7,3.5,29,C.W. OF IND. STATES,5213898,198500,263,0,-245,3564,1600,970,840,73,35,9235,25,228,708,353,208,439
Cambodia,KHM,14780454,16009414,16249798,1.630429697,1.530261745,1.490355371,950.880346,1385.25998,1512.12671,5.577863206,5.389886233,5.929889607,14054443213,22177200512,24571753583,7.313345505,7.01503011,7.520444426,21,ASIA (EX. NEAR EAST),13881427,181040,767,24,0,7148,1900,694,26,2096,61,7843,2,269,906,35,3,35
Kuwait,KWT,3348853,4056097,4137309,5.549848598,2.476711432,1.982439531,51978.99848,29474.54143,34243.95291,0.869997884,-5.842672892,-0.747204188,1.7407E+11,1.19552E+11,1.41678E+11,6.626388081,-3.48154919,1.240055498,39,NEAR EAST,2418393,17820,1357,280,1418,995,19000,835,2110,73,11,9916,1,2194,241,4,479,516
Lao PDR,LAO,6444530,6953035,7061507,1.516011911,1.553620994,1.548022991,1581.395403,2423.846203,2567.543217,6.400761197,5.204194036,4.864905688,10191350120,16853087485,18130724396,8.026098434,6.851431259,6.500868407,29,ASIA (EX. NEAR EAST),6368481,236800,269,0,0,8522,1700,664,141,38,35,9585,2,3549,1155,455,287,258
Lebanon,LBN,5538634,6811873,6848925,6.263879893,1.490111794,0.54245866,7985.854941,7838.343385,8269.787676,-3.516740507,-0.93523415,-0.342081302,44230727695,53393799668,56639155556,2.720151566,0.551994777,0.199990636,28,NEAR EAST,3874050,10400,3725,216,0,2452,4800,874,2556,1662,1398,694,,1852,621,12,21,67
Liberia,LBR,4135659,4702228,4818977,2.90010564,2.485644197,2.452522593,657.9362563,698.7017644,674.2094847,4.906859801,-0.04698527,-1.229759965,2721000000,3285455000,3249000000,7.993815693,2.468626095,1.222551313,31,SUB-SAHARAN AFRICA,3042004,111370,273,52,0,12887,1000,575,23,395,228,9377,2,4477,231,769,54,177
